,Name,Title,Key Expertise,Languages,Modules
0, Philippe Aghion,Professor of Economics,"Growth, Contract Theory","English, French","['EC476: Contracts and Organisations', 'EC539: Macroeconomics for Research Students']"
1, Nava  Ashraf,Professor of Economics | Research Director of the Marshall Institute,"Psychology & Economics, Development Economics, Economics of the Family",English,"['EC452: Applying Behavioural Economics for Social Impact: Design, Delivery, Evaluation and Policy', 'EC535: Development Economics for Research Students ']"
2, Oriana Bandiera,Professor of Economics |  Sir Anthony Atkinson Chair in Economics  ,"Development Economics, Organisational Economics",English,['EC307: Development Economics']
3, Sir Charles  Bean,Professor of Economics,"Macroeconomics, Monetary Policy",English,['EC321: Monetary Economics']
4, Tim Besley,School Professor of Economics and Political Science ,"Development Economics, Public Economics, Political Economy",English,"['EC201: Microeconomic Principles I', 'PP450 Public Organisations: Theory and Practice']"
5, Mohan Bijapur,MSc Tutor,"Macroeconomics, Monetary Economics, Financial Economics",English,['EC230: Economics in Public Policy']
6, Gharad Bryan,Associate Professor of Economics,"Development Economics, Behavioural Economics, Experimental Economics",English,"['EC428: Development and Growth', 'EC454: Development Economics', 'EC535: Development Economics for Research Students']"
7, Robin  Burgess,Professor of Economics | Director of IGC,"Development Economics, Environmental Economics, Political Economy",English,"['EC307: Development Economics', 'EC454: Development Economics']"
8, Michael Callen,Associate Professor of Economics,"Development Economics, Political Economy, Behavioral Economics","English, Mandarin",['EC240: PPE Interdisciplinary Research Seminar']
9, Francesco  Caselli,Norman Sosnow Professor of Economics | Head of Department,"Development Economics, Economics and Politics, Economic Growth",English,"['EC102: Economics B', 'EC442: Macroeconomics for MRes Students']"
10, Frank Cowell,Professor of Economics | MSc Economics (2 year) Programme Director,"Income and Wealth Distribution, Inequality and Poverty   ",English,"['EC202: Microeconomics Principles II', 'EC426: Public Economics']"
11, Wouter  Den Haan,Professor of Economics | Co-Director of CFM,Macroeconomics,English,"['EC413: Macroeconomics', 'EC417: Advanced Macroeconomics', 'EC442: Macroeconomics for MRes Students']"
12, Maarten De Ridder,Assistant Professor of Economics,Macroeconomics,"Dutch, English","['EC417 Advanced Macroeconomics', 'EC539 Macroeconomics for Research Students']"
13, Swati  Dhingra,Associate Professor of Economics,"International Economics, Trade Policy, Industrial Organisation",English,"['EC315: International Economics', 'EC421: International Economics', 'EC532: International Economics for Research Students']"
