,Professor Name,Professor Prefix,Key Expertise,Languages,Title,Modules,department
0,Dr Ashwini Agrawal,Dr,"corporate finance, corporate governance, labor economics, economics of information technology (it)",English,Associate Professor of Finance,"FM304 Applied Corporate Finance, FM414 Corporate Investment and Financial Policy, FM414E Private Equity, Venture Capital and Entrepreneurial Finance, FM502 Corporate Finance for Research Students",finance
1, Ulf  Axelson ,Professor,"corporate finance, corporate governance, private equity, financial innovation and security design",English,Professor of Finance and Private Equity,"FM410 Private Equity, FM431L Corporate Finance A",finance
2,Dr Cynthia Balloch,Dr,"international finance, macroeconomics, corporate finance",English,Assistant Professor of Finance,"FM421 Applied Corporate Finance, FM473L Financial Markets",finance
3,Dr Elisabetta  Bertero ,Dr,sub-sovereign debt; the financial role of the state and the interaction between governments and financial markets; budget constraint and state-owned firms; international finance and exchange rates,English,Lecturer in Finance,"AC100 Elements of Accounting and Finance, FM101 Finance, FM472 International Finance",finance
4, Mike  Burkart,Professor,"corporate governance, financial contracting",English,Professor of Finance,"FM436 Financial Economics, FM473M Financial Markets, FM502 Corporate Finance for Research Students",finance
5,Dr Georgy  Chabakauri ,Dr,"asset pricing, portfolio choice, risk management",English,Associate Professor of Finance,"FM300 Corporate Finance, Investments and Financial Markets, FM423E Asset Markets, FM429 Asset Markets (A), FM430 Corporate Finance and Asset Markets",finance
6,Dr Kim Fe Cram,Dr,,English,Assistant Professor,FM213 Principles of Finance,finance
7, Vicente  Cuñat ,Professor,"corporate finance, applied theory, applied econometrics, industrial organization, labour and personnel economics",English,Professor of Finance,"FM407 Mergers, Buyouts and Corporate Restructurings, FM407E Mergers, Buyouts and Corporate Restructurings",finance
8,Dr Jon  Danielsson ,Dr,"systemic risk, financial risk, econometrics, economic theory, financial crisis",English,Reader in Finance; Director of the Systemic Risk Centre,"FM403 Management and Regulation of Risk, FM442 Quantitative Methods for Finance and Risk Analysis, FM447 Global Financial Systems",finance
9, Amil  Dasgupta ,Professor,"institutional investors, shareholder activism, corporate governance, financial markets, financial crises",English,Professor of Finance,"FM422E Corporate Finance, FM475E Financial Management (modular)",finance
10, Daniel  Ferreira ,Professor,"corporate finance and governance, organizational economics",English,Professor of Finance,Finance for Executives,finance
11,Dr Juanita Gonzalez-Uribe ,Dr,"entrepreneurship, empirical corporate finance, accelerators, private equity and innovation",English,Associate Professor of Finance,"FM414E Private Equity, Venture Capital and Entrepreneurial Finance, FM476 Entrepreneurial Finance",finance
12, Dirk  Jenter ,Professor,"corporate finance, organizational economics, capital markets",English, Professor of Finance,"FM422 Corporate Finance, FM422E Corporate Finance",finance
13,Dr Christian Julliard,Dr,"macroeconomics, finance, applied econometrics, international economics and finance, real estate finance",English,Associate Professor of Finance,"FM409 Risk Management in Financial Markets, FM409E Risk Management in Financial Markets, FM413 Fixed Income Markets, FM437 Financial Econometrics, FM481 Financial Econometrics for Research Students",finance
14, Péter  Kond,Professor,"asset pricing with frictions, information and learning, delegated portfolio management",English,Professor of Finance,"FM404 Advanced Financial Economics, FM405 Fixed Income Securities and Credit Markets, FM405E Fixed Income Securities and Credit Markets",finance
15,Dr Paula  Lopes-Cocc,Dr,"retirement saving and investments, personal bankruptcy, consumer credit",English,Associate Professorial Lecturer; Departmental Tutor,"FM201 Macro-Finance, FM320 Quantitative Finance (seminars only), FM430 Corporate Finance and Asset Markets (seminars only)",finance
16, Dong  Lou ,Professor,"asset pricing, investment management, behavioural finance",English,Professor of Finance,,finance
17,Dr  Igor  Makarov ,Dr,"cryptocurrencies, decentralized finance, financial markets, asset pricing",English,Associate Professor of Finance,"FM423 Asset Markets, FM423E Asset Markets",finance
18, Ian  Martin ,Professor,financial economics,English,Professor of Finance,"FM436 Financial Economics, FM503 Asset Pricing for Research Students",finance
19,  Martin  Oehmk,Professor,"financial economics, corporate finance theory, financial intermediation",English,Professor of Finance,"FM100 Introduction to Finance, FM302 Theories of Corporate Finance, FM502 Corporate Finance for Research Students",finance
20,  Daniel  Paravisini ,Professor,"corporate finance, credit and banking, development economics",English,Professor of Finance,,finance
21,Dr Cameron Peng,Dr,,English,Assistant Professor of Finance,"FM213 Principles of Finance, FM301 Market Anomalies and Asset Management",finance
22, Christopher  Polk  ,Professor,"asset pricing, asset management, behavioural finance, sustainable finance",English,Professor of Finance,FM471 Sustainable Finance and Impact Investing,finance
23,Dr Rohit  Rahi ,Dr,"asset pricing with asymmetric information, financial innovation and security design, arbitrage in\xa0segmented markets\xa0, general equilibrium theory, networks",English,Associate Professor of Finance,"FM320 Quantitative Finance, FM322 Derivatives, FM441 Derivatives",finance
24,Dr Walker Ray,Dr,"macroeconomics, international finance",English,Assistant Professor of Finance,FM445 Portfolio Management,finance
25,Dr Huan Tang,Dr,"fintech, digital economy, banking, household finance",English,Assistant Professor of Finance,FM474M Managerial Finance,finance
26, Dimitri  Vayanos ,Professor,"liquidity and asset pricing, information in asset markets, delegated portfolio management, behavioural finance",English,"Professor of Finance; Director, Financial Markets Group","FM200 Financial Systems and Crises, FM305 Advanced Financial Economics, FM503 Asset Pricing for Research Students",finance
27,Dr Liliana Varela,Dr,"international economics and finance, macroeconomics, firms dynamics",English,Assistant Professor of Finance,"FM474L Managerial Finance, FM477 International Finance A",finance
28,Dr Michela  Verard,Dr,"empirical asset pricing, market efficiency, behavioural finance, institutional investors",English,Associate Professor of Finance,"FM406 Topics in Portfolio Management, FM406E Topics in Portfolio Management",finance
29, David Webb,Professor,"corporate and government finance, investment, pensions, corporate insolvency",English,Professor of Finance,,finance
30,  Kathy  Yuan ,Professor,"bubbles and crises, liquidity, hetergenous information, mutual funds, hedge funds, network theory, short-sale and margin constraints, global games, asset pricing",English,Professor of Finance,"FM402 Financial Risk Analysis, FM403 Management and Regulation of Risk",finance
31,Dr Hongda Zhong,Dr,finance and economics,English,Assistant Professor of Finance,"FM213 Principles of Finance, FM474L Managerial Finance",finance
32,Dr Linyan Zhu,Dr,,English,Assistant Professor,"FM321 Risk Management and Modelling, FM437 Financial Econometrics",finance
33,Dr Jean-Pierre  Zigrand ,Dr,"general equilibrium asset pricing, financial intermediation and delegation, continuous time asset pricing, market crashes, foundations of arbitrage",English,"Associate Professor of Finance; Director, Systemic Risk Centre","FM408 Financial Engineering, FM408E Financial Engineering, FM412 Quantitative Security Analysis",finance
0,Dr James  Abdey,Dr,,English,Associate Professorial Lecturer ,,stats
1,Dr Mona Azadkia,Dr,"non-parametric statistics, causal inference, high-dimensional statistics","English, Persian",Assistant Professor ,,stats
2,Dr Marcos Barret,Dr,"big data linkage & analytics, artificial intelligence, machine learning","English, Portuguese",Assistant Professorial Lecturer,"ST446, ST449, ST456, ST207, ST498",stats
3, Pauline  Barrieu,Professor,,English,Professor and Head of Department ,,stats
4,Dr Erik  Baurdoux,Dr,,English,Associate Professor ,,stats
5, Wicher  Bergsma,Professor,,English,Professor and Deputy Head of Department (Teaching),,stats
6, Umut Cetin,Professor,,English,Professor,,stats
7,Dr Yining  Chen,Dr,,English,Associate Professor,,stats
8,Dr Yunxiao  Chen,Dr,"multivariate statistics, social statistics, latent variable models","English, Mandarin",Assistant Professor ,,stats
9, Angelos  Dassi,Professor,,English,Professor,,stats
10,Dr Daniela  Escobar ,Dr,,English,Assistant Professorial Lecturer ,,stats
11, Piotr  Fryzlewicz,Professor,,English,Professor ,,stats
12,Dr Sara Geneletti,Dr,,English,Associate Professor,,stats
13,Dr Kostas Kalogeropoul,Dr,,English,Associate Professor,,stats
14, Kostas  Kardara,Professor,,English,Professor ,,stats
15, Jouni Kuha,Professor,statistics for the social sciences,"English, Finnish",Professor,,stats
16, Clifford Lam,Professor,,English,Professor,,stats
17,Dr Giulia  Livieri ,Dr,"financial econometrics, stochastic analysis, machine learning theory ","English, French, Italian",Assistant Professor ,,stats
18,Dr Joshua Loftu,Dr,"high-dimensional inference, algorithmic fairness, data science",English,Assistant Professor,,stats
19,Dr Gelly Mitrodima,Dr,,English,Assistant Professorial Lecturer,,stats
20, Irini  Moustaki ,Professor,"latent variable modelling, social science applications","English, Greek",Professor ,,stats
21,Dr Francesca  Pan,Dr,"bayesian statistics, disclosure risk, complex networks",English,Assistant Professor ,,stats
22,Dr Xinghao Qia,Dr,,English,Associate Professor,,stats
23,Dr Chengchun  Shi ,Dr,,English,Assistant Professor ,,stats
24,Dr Andreas Søjmark ,Dr,"stochastic analysis, mathematical finance","Danish, English, German",Assistant Professor ,,stats
25, Fiona Steel,Professor,statistical methods for social research,English,Professor ,,stats
26, Zoltan Szab,Professor,"kernel methods, information theory, scalable computation","English, Hungarian",Professor of Data Science ,,stats
27, Milan  Vojnović ,Professor,"data science, machine learning","Croatian, English",Professor,,stats
28,Dr Tengyao Wang,Dr,,English,Associate Professor,,stats
29, Qiwei  Ya,Professor,,English,Professor,,stats
30,Dr Christine Yuen,Dr,,English,Assistant Professorial Lecturer ,"ST101, ST115, ST445, ST445, ST446",stats
31,Dr Yufei Zhang,Dr,"stochastic control and games, computational finance, reinforcement learning","English, Mandarin",Assistant Professor,,stats
0, Philippe Aghion,,"growth, contract theory","English, French",Professor of Economics,"EC476: Contracts and Organisations, EC539: Macroeconomics for Research Students",economics
1, Nava  Ashraf,,"psychology & economics, development economics, economics of the family",English,Professor of Economics | Research Director of the Marshall Institute,"EC452: Applying Behavioural Economics for Social Impact: Design, Delivery, Evaluation and Policy, EC535: Development Economics for Research Students ",economics
2, Oriana Bandiera,,"development economics, organisational economics",English,Professor of Economics |  Sir Anthony Atkinson Chair in Economics  ,EC307: Development Economics,economics
3, Sir Charles  Bean,,"macroeconomics, monetary policy",English,Professor of Economics,EC321: Monetary Economics,economics
4, Tim Besley,,"development economics, public economics, political economy",English,School Professor of Economics and Political Science ,"EC201: Microeconomic Principles I, PP450 Public Organisations: Theory and Practice",economics
5, Mohan Bijapur,,"macroeconomics, monetary economics, financial economics",English,MSc Tutor,EC230: Economics in Public Policy,economics
6, Gharad Bryan,,"development economics, behavioural economics, experimental economics",English,Associate Professor of Economics,"EC428: Development and Growth, EC454: Development Economics, EC535: Development Economics for Research Students",economics
7, Robin  Burgess,,"development economics, environmental economics, political economy",English,Professor of Economics | Director of IGC,"EC307: Development Economics, EC454: Development Economics",economics
8, Michael Callen,,"development economics, political economy, behavioral economics","English, Mandarin",Associate Professor of Economics,EC240: PPE Interdisciplinary Research Seminar,economics
9, Francesco  Caselli,,"development economics, economics and politics, economic growth",English,Norman Sosnow Professor of Economics | Head of Department,"EC102: Economics B, EC442: Macroeconomics for MRes Students",economics
10, Frank Cowell,,"income and wealth distribution, inequality and poverty   ",English,Professor of Economics | MSc Economics (2 year) Programme Director,"EC202: Microeconomics Principles II, EC426: Public Economics",economics
11, Wouter  Den Haan,,macroeconomics,English,Professor of Economics | Co-Director of CFM,"EC413: Macroeconomics, EC417: Advanced Macroeconomics, EC442: Macroeconomics for MRes Students",economics
12, Maarten De Ridder,,macroeconomics,"Dutch, English",Assistant Professor of Economics,"EC417 Advanced Macroeconomics, EC539 Macroeconomics for Research Students",economics
13, Swati  Dhingra,,"international economics, trade policy, industrial organisation",English,Associate Professor of Economics,"EC315: International Economics, EC421: International Economics, EC532: International Economics for Research Students",economics
14, Jeremiah Dittmar,,"economic growth, economic history, macroeconomics, applied econometrics ",English,Associate Professor of Economics,"EC455: Quantitative Approaches and Policy Analysis, EC465: Economic Growth, Development, and Capitalism in Historical Perspective",economics
15, Andrew Ellis,,"microeconomic theory, decision theory, political economy",English,Lecturer in Economics,"EC202: Microeconomic Pirnciples II, EC319: Games and Economic Behaviour, EC537: Microeconomic Theory for Research Students",economics
16, Alessandro Gavazza,,"industrial organisation, applied microeconomics",English,Professor of Economics,"EC486: Econometric Methods, EC536: Economics of Industry for Research Students",economics
17, Maitreesh  Ghatak,,"development economics, public economics, economics of organisations",English,Professor of Economics |  MRes/PhD Programme Director,"EC240: PPE Interdisciplinary Research Seminar, EC428: Development and Growth, EC535: Development Economics for Research Students",economics
18, Michael Gmeiner,,"health economics, industrial organization","English, Ukrainian",Assistant Professorial Lecturer of Economics ,"EC220: Introduction to Econometrics, EC443: Econometrics for MRes Students - classes only, EC475: Quantitative Economics ",economics
19, Vassilis Hajivassiliou,,"applied & theoretical microeconometrics, simulation inference, thick tails","English, French, Greek",Associate Professor (Reader) of Economics ,"EC402: Econometrics, EC443: Econometrics for MRes Students",economics
20, Jonathon Hazell,,"macroeconomics, labour economics",English,Assistant Professor of Economics,"EC1B1 Macroeconomics I, EC539 Macroeconomics for Research Students",economics
21,Professor Javier Hidalgo,,econometrics,English,Professor of Econometrics,"EC309: Econometric Theory, EC451: Pre-sessional Course for MSc EME, EC484: Econometric Analysis, EC485: Further Topics in Econometrics, EC518: Topics in Advanced Econometrics for Research Students",economics
22, Ethan Ilzetzki,,"macroeconomics, international finance, fiscal policy",English,Associate Professor,"PP440: Microeconomics and Macroeconomics for Public Policy, PP404: Economics for Public Policy, EC442: Macroeconomics for MRes Students, EC540: Political Economy",economics
23, Xavier  Jaravel,,public economics; economics of innovation and inequality; macroeconomics,English,Associate Professor of Economics,"EC426: Public Economics, EC475: Quantitative Economics, EC534: Public Economics for Research Students",economics
24, Keyu Jin,,"international macroeconomics, international finance and trade","English, French",Associate Professor of Economics,,economics
25, Tatiana Komarova,,"econometric theory, applied econometrics",English,Lecturer in Economics,"EC309: Econometric Theory, EC402: Econometrics, EC443: Econometrics for MRes Students, EC485: Further Topics in Econometrics",economics
26, Katarzyna Krajniewska,,"economic education, industrial organisation ","English, Polish",Undergraduate Tutor,"EC202 Microeconomic Principles II, EC230 Economics in Public Policy",economics
27, Camille Landais,,"public finance, labour economics, applied microeconomics, microeconometrics","English, French",Professor of Economics,"EC325: Public Economics, EC426: Public Economics, EC534: Public Economics for Research Students",economics
28, Jonathan Leape,,"public economics, development economics, applied microeconomics",English,Associate Professor of Economics  |  IGC Executive Director (In Secondment),,economics
29, Gilat Levy,,"microeconomic theory, political economy, law and economics ",English,Professor of Economics,"EC476: Contracts and Organisations, EC540: Political Economy ",economics
30, Matthew  Levy,,"behavioural economics, health economics, experimental economics",English,Lecturer in Economics,"EC310: Behavioural Economics, EC331: Quantitative Economics Project , EC537: Microeconomic Theory for Research Students",economics
31, Stephen Machin,,"labour economics, industrial and urban economics, education, crime",English,Professor of Economics | Director of CEP,EC533: Labour Economics for Research Students,economics
32, Isabela Manelici,,"international trade, development economics","English, French, Portuguese, Romanian, Spanish",Assistant Professor of Economics,EC315: International Economics ,economics
33, Alan Manning,,"labour markets, unemployment, minimum wages, monopsony, immigration",English,Professor of Economics,"EC100: Economics A, EC423: Labour Economics",economics
34, Rachael Meager,,"development economics, econometrics, statistics",English,Assistant Professor of Economics,"EC333: Problems of Applied Econometrics, EC402: Econometrics",economics
35, Antonio Mele,,"macroeconomics, computational methods, monetary economics","English, French, Italian, Spanish",Associate Professorial Lecturer in Economics,EC1B3 Macroeconomics l,economics
36, Guy Michaels,,"labour economics, economic development, urban economics",English,Associate Professor of Economics ,"EC317: Labour Economics, EC423: Labour Economics, EC533: Labour Economics for Research Students ",economics
37, Benjamin Moll,,macroeconomics,"English, German",Professor of Economics ,"EC417: Advanced Macroeconomics, EC442: Macroeconomics for MRes Students, EC539: Macroeconomics for Research Students ",economics
38, John Moore,,economic theory,English,School Professor of Economics and Political Science,,economics
39, Dmitry Mukhin,,"macroeconomics, international economics","English, Russian",Assistant Professor of Economics,"EC400: Introductory Course in Mathematics and Statistics, EC421: International Economics, EC532: International Economics for Research Students",economics
40, Francesco  Nava,,"economic theory, social networks, industrial organisation","English, French, German, Italian",Lecturer in Economics | MSc Economics Programme Director,"EC319: Economic Theory and its Applications, EC400: Introductory Course in Mathematics and Statistics, EC411: Microeconomics",economics
41, Rachel  Ngai,,"macroeconomics, growth and development, labour",English,Associate Professor of Economics,"EC100: Economics A, EC301: Advanced Economic Analysis, EC539: Macroeconomics for Research Students",economics
42, Junius Olivier,,"development economics, institutional economics, historical economics",English,Undergraduate Tutor,,economics
43, Taisuke Otsu,,"nonparametric and semiparametric methods, microeconometrics",English,Professor of Econometrics | MSc Econometrics and Mathematical Economics Programme Director,"EC220: Introduction to Econometrics, EC451: Pre-sessional Course for MSc EME, EC484: Econometric Analysis , EC518: Topics in Advanced Econometrics for Research Students",economics
44, Martin  Pesendorfer,,"industrial organization, information economics, applied microeconomics","English, German",Professor of Economics,"EC313: Industrial Economics, EC411: Microeconomics, EC427: The Economics of Industry, EC536: Economics of Industry for Research Students",economics
45, Dimitra Petropoulou,,"international trade, political economy, industrial organisation","English, Greek",Professorial Lecturer in Economics | Deputy Head of Department (Education),EC201: Microeconomic Principles I,economics
46, Michele Piccione,,"microeconomic theory, game theory, bounded rationality",English,Professor of Economics,EC441: Microeconomics for MRes Students,economics
47, Steve Pischke,,"labour economics, economics of education, applied econometrics","English, German",Professor of Economics,,economics
48, Sir Christopher Pissarides,,"macroeconomics of labour markets, structural change, economic growth","English, Greek",Regius Professor of Economics,,economics
49, Ronny Razin,,"microeconomic theory, political economy",English,Professor of Economics,"EC102: Economics B, EC302: Political Economy",economics
50, Daniel Reck,,"behavioural economics, public economics, international taxation",English,Assistant Professor of Economics,"EC325: Public Economics, EC410: Public Economics for Public Policy, EC534: Public Economics for Research Students",economics
51, Ricardo Reis,,"macroeconomics, monetary economics, financial economics",English,Arthur Williams Phillips Professor of Economics,"EC210: Macroeconomic Principles, EC539: Macroeconomics for Research Students",economics
52, Nico Rosetti,,"labour economics, industrial relations, quantitative methods ","English, French, Italian",Undergraduate Tutor,,economics
53, Thomas Sampson,,"international trade, brexit",English,Associate Professor of Economics,,economics
54, Christopher Sandmann,,economic theory,"English, French, German, Portuguese",Assistant Professor of Economics,"EC319: Games and Economic Behaviour , EC487: Advanced Microeconomics ",economics
55, Marcia Schafgans,,"microeconometrics, semi- & nonparametric econometrics, spatial econometrics","Dutch, English",Associate Professor of Economics,"EC220: Introduction to Econometrics, EC221: Principles of Econometrics, EC400: Introductory Course in Mathematics and Statistics, EC443: Econometrics for MRes Students",economics
56, Mark Schankerman,,"innovation, patents, industrial economics, law and economics",English,Professor of Economics | PhD Placement Director,"EC333: Problems of Applied Econometrics, EC427: Economics of Industry, PP402: Quantitative Methods for Policy Analysis, PP455: Quantitative Approaches and Policy Analysis",economics
57, Pasquale Schiraldi,,"industrial organisation, applied micro theory, applied econometrics","English, Italian",Lecturer in Economics,"EC427: The Economics of Industry, EC486: Econometric Methods, EC536: Economics of Industry for Research Students",economics
58, Judith Shapiro,,"economics of post-transition & transition, particularly russian",English,Senior Lecturer in Practice,,economics
59, Kevin Sheedy,,"macroeconomics, monetary economics",English,Assistant Professor of Economics ,"EC210: Macroeconomic Principles, EC321: Monetary Economics, EC424: Monetary Economics",economics
60, Johannes Spinnewijn,,"public economics, behavioural economics, economic theory",English,Professor of Economics ,,economics
61, Lord Nicholas Stern,,"economics of climate change, economic development & growth, public policy","English, French",IG Patel Chair of Economics and Government ,,economics
62, Daniel Sturm,,"international trade, economic geography, urban economics, political economy","English, German",Professor of Economics ,"EC532: International Economics for Research Students, PP419: Advanced Empirical Methods for Public Policy, PP440: Microeconomics and Macroeconomics for Public Policy",economics
63, John  Sutton,,theories of industrial structure and their empirical implementation,English,Emeritus Professor of Economics | MSc Economics and Management Programme Director,EC427: The Economics of Industry,economics
64, Balazs Szentes,,theories of industrial structure and their empirical implementation,English,Professor of Economics | Deputy Head of Department for Research,"EC441: Microeconomics for MRes Students, EC487: Advanced Microeconomics, EC537: Microeconomic Theory for Research Students",economics
65, Silvana  Tenreyro,,"macroeconomics, monetary economics, international economics, growth","English, Italian, Spanish",Professor of Economics,,economics
66, John  Van Reenen,,"applied microeconomics, innovation, productivity, labour economics","English, French",Ronald Coase Chair in Economics and School Professor,,economics
67, Yike Wang,,"theoretical and applied econometrics, applied microeconomics",English,Assistant Professor of Economics,"EC221: Principles of Econometrics, EC443: Econometrics for MRes students, EC518: Topics in Advanced Econometrics for Research Students",economics
68, Alwyn Young,,macroeconomics ,English,Professor of Economics,EC413: Macroeconomics,economics
